region,crop,year,yield_lag1,yield_lag2,90%tile precipitation,90%tile precipitation (mm/day),90%tile precipitation (mm/day) years,aod,avg,ch4,ch4 (ppbv),ch4 avg (ppbv),ch4 day (ppbv),ch4 night (ppbv),co avg (ppbv),co day (ppbv),co day ppbv,co night (ppbv),co ppbv,co sfc conc (ppbv),co surface concentration (ppbv),co surface mass concentration (ppbv),co_day (ppbv),co_night (ppbv),day o3,net downward shortwave radiation,net dw sw wm-2,net sw land,net sw land wm-2,o3 avg,o3 sfc mass conc.,o3 total column 0.25 deg,o3 total column 1 deg,o3_total column o3 du,ozone 0.25,ozone 1 deg.,ozone sfc mass conc.,pm2.5 ugm-3,shortwave radiation,so2 column amount,so2 column du,so2 conc (ugm-3),so2 sfc ms cnc,so2 ugm-3,surface skin temp,surface skin temp avg,surface skin temp day,surface skin temp night,surface skin temp years,total column o3 du,total column ozone dobson,total o3 column,yield_true,yield_pred
GKP,maize,2018,1.2021589793915604,1.3540352042510795,,24.078527795685886,,0.5019435054346424,,1882.4357535624995,,,1871.7837506249998,1893.0877564999992,,,,,117.51301050749953,138.20592329248382,,,,,,,198.64530169117666,,,,,269.74370497582413,269.25057311538444,,,,,39.60723536258172,149.9648356137825,-0.015315848989010172,,,,9.240820752418358,,29.730942946547607,34.020311832380955,25.441574060714267,,,274.82326998692815,,0.4570963806425376,1.31628221027327
GKP,rice,2018,1.85,1.39,,24.078527795685886,2018.0000000000002,0.4697841189084988,,1893.1437821250001,,,1893.1998077499998,1893.0877564999992,,,,,117.51301050749953,152.12372436993485,,,,,,,182.93699660457503,,,,,269.74370497582413,269.25057311538444,,,,,41.45713092336621,149.9648356137825,-0.015315848989010172,,,,9.870835037065433,,,32.13260730523813,24.399702780952357,2018.0000000000002,,271.1319665375818,,2.55,2.354666600257347
GKP,wheat,2018,3.64501734732266,2.2280011746691,,,,0.695114494202997,,1438.6324388993485,,,984.508184745694,1892.7566930530033,134.69554170000038,,117.51301050749953,151.87807289249994,,,,,,,,,,,,,,269.74370497582413,269.25057311538444,,,,,99.5524952527785,,-0.015315848989010172,,,,,,,,,,,,,4.23599818979105,3.206282050890236
PYG,maize,2018,1.88,0.73,,27.68396468913909,,0.5058674704754917,,,,1885.991515000001,1875.6618357500006,1896.3211942500002,,,,,,129.53506709934663,,,,,,,,,194.00735716993495,,,,,,,,,,,,,9.934105308072049,,,,30.309495699285698,35.079314659285714,25.539676739285685,,275.32985742810456,,,2.19,1.4028401286463872
PYG,rice,2018,2.76,1.83,,27.68396468913909,,0.4794316964183034,,,,1885.991515000001,1875.6618357500006,1896.3211942500002,,,,,,143.02129830915044,,,,,,,,,179.28973482843134,,,,,,,,,,,,,11.465446431928285,,,,28.421242387261902,32.83327678523812,24.009207989285688,2018.0000000000002,271.34627620424845,,,2.74,2.4413354893841825
PYG,wheat,2018,2.99826718486943,1.91200149864398,,27.68396468913909,,0.7314551335163557,,,1831.9077834250024,,,,138.00153500875012,,,154.73787114999993,,,,,121.26519886749975,,,157.11857047712397,,,,,,,,,265.26514565164825,265.26514565164825,,91.03096284019693,,,0.09653992407692336,,,,,19.65197210492861,27.650335244047625,11.653608965809575,,,,,3.76143764420447,2.7474349411692405
SNB,maize,2018,0.91,0.83,46.35912471512211,,,0.446833281117649,,,,1902.0827364602146,1902.5702911889675,1889.1671167600807,,,,,,108.61577704607848,,,,,287.63007812499995,,,191.45466897712436,,,,,,274.2412370866013,,,,31.79467521045757,,,,,,9.870835036438052,,29.075678997380905,34.165587505476125,23.98577048928567,,,,,0.93,1.2061173911158538
SNB,rice,2018,2.6,1.49,,,,0.4139201213741872,26.775317462187502,,,1902.0827364602146,1902.5702911889675,1889.1671167600807,,,,,,116.88755068545751,,,,,,,,178.86374133006535,,,,,,,,,,31.42426951486931,,,,,,9.870835036438052,31.366747805624982,,,,,270.396771877451,,285.464453125,2.72,2.072221748275773
SNB,wheat,2018,2.40764479040206,1.5902060971846,,46.35912471512211,,0.5459047025228791,,,,,1863.597974594797,,137.63956254150207,,,153.72408040050485,,,,,121.55504468250092,,,1882.8924975999996,,,,,,,,,261.90707178063553,262.10859535194425,,73.01448857026276,,,0.010251533129601142,,,,,21.114648595714307,29.66830349190478,12.56099369952385,,,,,2.35696650329808,2.516254193649318
VNS,maize,2018,1.7529290144727774,1.536108146567058,,46.36446225917723,,0.4825855125473879,,,,1883.3547081250008,1875.3780748750005,1891.331341375001,,,,,,,120.23043639166677,,,,,,,191.45466897712436,,278.06173933095226,274.30223833169936,,,,,,,34.91421568627459,,,,,15.614735568496826,,,29.808816717380928,34.64804598119046,24.969587453571414,,,,,1.774060020696792,1.761646219832051
VNS,rice,2018,2.45499920458161,2.05899060519991,,46.36446225917723,,0.45316911042320474,,,,1883.3547081250008,1875.3780748750005,1891.331341375001,,,,,,,,130.8222746096406,,,,,,178.86374133006535,,,,,,,,,270.3969794418301,34.757516339869426,,,,,15.614735568496826,,,28.066480437261895,32.32280422452381,23.81015664999996,,,,,2.54900520118332,2.3921938238819767
