Task,Model,Architecture,Score,Parameters
Classification,HistGB (Variant 0),HistGB,0.3324,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_depth': 4, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.3}"
Classification,HistGB (Variant 1),HistGB,0.4637,"{'model__min_samples_leaf': 60, 'model__max_leaf_nodes': 15, 'model__max_depth': 2, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.01}"
Classification,HistGB (Variant 2),HistGB,0.4152,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__max_depth': 2, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.05}"
Classification,HistGB (Variant 3),HistGB,0.4441,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 31, 'model__max_depth': 4, 'model__learning_rate': 0.02, 'model__l2_regularization': 0.01}"
Classification,HistGB (Variant 4),HistGB,0.3587,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 63, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.3}"
Classification,HistGB (Variant 5),HistGB,0.4847,"{'model__min_samples_leaf': 60, 'model__max_leaf_nodes': 63, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.1}"
Classification,HistGB (Variant 6),HistGB,0.4219,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 31, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.3}"
Classification,HistGB (Variant 7),HistGB,0.4441,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 63, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.05}"
Classification,HistGB (Variant 8),HistGB,0.4902,"{'model__min_samples_leaf': 60, 'model__max_leaf_nodes': 15, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.05}"
Classification,HistGB (Variant 9),HistGB,0.3539,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.05}"
Classification,HistGB (Variant 10),HistGB,0.445,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 63, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.05}"
Classification,HistGB (Variant 11),HistGB,0.4551,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 63, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.01}"
Classification,HistGB (Variant 12),HistGB,0.4902,"{'model__min_samples_leaf': 60, 'model__max_leaf_nodes': 31, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.05}"
Classification,HistGB (Variant 13),HistGB,0.4903,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 63, 'model__max_depth': 2, 'model__learning_rate': 0.02, 'model__l2_regularization': 0.3}"
Classification,HistGB (Variant 14),HistGB,0.4847,"{'model__min_samples_leaf': 60, 'model__max_leaf_nodes': 15, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.01}"
Classification,HistGB (Variant 15),HistGB,0.3994,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 31, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.05}"
Classification,HistGB (Variant 16),HistGB,0.4441,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 63, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.3}"
Classification,HistGB (Variant 17),HistGB,0.3557,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 15, 'model__max_depth': 2, 'model__learning_rate': 0.05, 'model__l2_regularization': 0.01}"
Classification,HistGB (Variant 18),HistGB,0.4817,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 63, 'model__max_depth': 2, 'model__learning_rate': 0.02, 'model__l2_regularization': 0.01}"
Classification,HistGB (Variant 19),HistGB,0.3587,"{'model__min_samples_leaf': 20, 'model__max_leaf_nodes': 31, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.1}"
Classification,HistGB (Variant 20),HistGB,0.4441,"{'model__min_samples_leaf': 40, 'model__max_leaf_nodes': 63, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__l2_regularization': 0.1}"
Classification,HistGB (Variant 21),HistGB,0.4817,"{'model__min_samples_leaf': 30, 'model__max_leaf_nodes': 63, 'model__max_depth': 2, 'model__learning_rate': 0.02, 'model__l2_regularization': 0.1}"
Classification,ExtraTrees (Variant 0),ExtraTrees,0.4783,"{'model__n_estimators': 600, 'model__min_samples_split': 20, 'model__min_samples_leaf': 20, 'model__max_features': 0.8, 'model__max_depth': None}"
