feature,importance_mean,importance_std
yield_lag1,0.6218183854149193,0.05123135605196688
crop,0.33254511920504215,0.023883941594312237
year,0.29767327753578593,0.03230740289618427
region,0.16404050562673306,0.01899549782023797
yield_lag2,0.11157424361514563,0.006140148761603748
surface skin temp avg,0.060783713423724496,0.010959300384936758
90%tile precipitation (mm/day),0.043684836825222464,0.007919588424949681
surface skin temp night,0.027235196071576862,0.007538459256991492
co sfc conc (ppbv),0.024782929895318738,0.0041717163777526415
surface skin temp day,0.023432422659269658,0.007742597000898087
pm2.5 ugm-3,0.0225060851522225,0.006707342746471404
aod,0.01807967796001917,0.008178526289795457
ch4 avg (ppbv),0.016124307015686547,0.0037071125596679203
ch4 day (ppbv),0.008411718595328499,0.0029442888579847394
ch4 night (ppbv),0.005590794290652223,0.0022735547547888227
90%tile precipitation,0.0,0.0
avg,0.0,0.0
ch4,0.0,0.0
co avg (ppbv),0.0,0.0
co day (ppbv),0.0,0.0
90%tile precipitation (mm/day) years,0.0,0.0
day o3,0.0,0.0
co_night (ppbv),0.0,0.0
co_day (ppbv),0.0,0.0
co surface mass concentration (ppbv),0.0,0.0
co surface concentration (ppbv),0.0,0.0
co ppbv,0.0,0.0
co night (ppbv),0.0,0.0
co day ppbv,0.0,0.0
ch4 (ppbv),0.0,0.0
net downward shortwave radiation,0.0,0.0
net sw land,0.0,0.0
net dw sw wm-2,0.0,0.0
o3 avg,0.0,0.0
o3 sfc mass conc.,0.0,0.0
o3 total column 0.25 deg,0.0,0.0
net sw land wm-2,0.0,0.0
so2 column du,0.0,0.0
so2 column amount,0.0,0.0
shortwave radiation,0.0,0.0
ozone sfc mass conc.,0.0,0.0
ozone 0.25,0.0,0.0
ozone 1 deg.,0.0,0.0
o3_total column o3 du,0.0,0.0
o3 total column 1 deg,0.0,0.0
surface skin temp years,0.0,0.0
so2 sfc ms cnc,0.0,0.0
so2 ugm-3,0.0,0.0
surface skin temp,0.0,0.0
so2 conc (ugm-3),0.0,0.0
total o3 column,0.0,0.0
total column o3 du,0.0,0.0
total column ozone dobson,0.0,0.0
