test_year,rank,feature,importance_mean,importance_std
2017,1,num__missingindicator_90%tile precipitation,0.14978359556933224,0.07402726182012284
2017,2,num__surface skin temp,0.08201159250774656,0.0551259843913823
2017,3,num__yield_lag1,0.0815816925540311,0.03172403133569595
2017,4,num__surface skin temp night,0.07582784028172221,0.028713528555239228
2017,5,num__surface skin temp years,0.0677747701643925,0.02463664372530829
2017,6,num__radiation,0.051782316618011096,0.031468469485021806
2017,7,num__surface skin temp day,0.05106751624093956,0.030437003266057167
2017,8,num__co sfc conc (ppbv),0.04915219946866724,0.024698915591423697
2017,9,num__total column ozone dobson,0.02851908606535645,0.025679673004328968
2017,10,num__90%tile precipitation (mm/day),0.018373337163671434,0.01499121557976667
2017,11,num__ch4 avg (ppbv),0.017489998552579246,0.010777176214261122
2017,12,num__ozone 1 deg.,0.01067661418456597,0.0027249689663827164
2018,1,num__missingindicator_90%tile precipitation,0.2323337037667581,0.09905899252742033
2018,2,num__yield_lag1,0.11777376060005462,0.05844384515921384
2018,3,num__surface skin temp years,0.07997335273883045,0.029952238516096852
2018,4,num__surface skin temp night,0.06864176536069658,0.021862079082155393
2018,5,num__radiation,0.05946929896642428,0.019007430223828833
2018,6,num__aod,0.042293574920667557,0.023056949876396216
2018,7,num__co sfc conc (ppbv),0.03876401953568899,0.021441406618186047
2018,8,num__surface skin temp,0.038016611482405246,0.021053037999610495
2018,9,num__missingindicator_yield_lag2,0.03494926260067068,0.0431979240071589
2018,10,num__ch4 day (ppbv),0.022345207553439005,0.0045563868818573276
2018,11,num__surface skin temp day,0.021386134148066525,0.013635880451401551
2018,12,num__total column ozone dobson,0.018822493092325608,0.0077485907236882635
2019,1,num__yield_lag1,0.22180679151478216,0.07781830381266316
2019,2,num__missingindicator_90%tile precipitation,0.15778715436708762,0.059740775915928544
2019,3,num__radiation,0.07836034819869225,0.017184706674055288
2019,4,num__surface skin temp years,0.07370715725788998,0.020895365384922027
2019,5,num__ch4 day (ppbv),0.04211222336873723,0.009072540635873753
2019,6,num__surface skin temp,0.03474917385028189,0.01650748275828296
2019,7,num__surface skin temp night,0.032149375272220636,0.015648159873521996
2019,8,num__surface skin temp day,0.031990811866953094,0.008774641225918879
2019,9,num__co sfc conc (ppbv),0.020650474401449802,0.01952710905868818
2019,10,num__ch4,0.014448016370754213,0.0037206199432382207
2019,11,num__missingindicator_yield_lag2,0.013000624529499127,0.013123012676670034
2019,12,num__aod,0.011927174395901585,0.008375354485394363
2020,1,num__yield_lag1,0.3363136042251439,0.14433449488565583
2020,2,num__missingindicator_90%tile precipitation,0.13112406404280857,0.07738373021431498
2020,3,num__radiation,0.0349226954863149,0.03716554667183434
2020,4,num__yield_lag2,0.011674565670658044,0.005686018210294632
2020,5,num__surface skin temp,0.009952896919094545,0.01575524637328899
2020,6,num__total column o3 du,0.008961655840984795,0.001433105133590049
2020,7,num__so2 conc (ugm-3),0.008608937808607553,0.0038828428631044075
2020,8,num__ch4 avg (ppbv),0.007975487018849692,0.005780839941563133
2020,9,num__ch4 night (ppbv),0.007808471514920134,0.006907451044055517
2020,10,num__90%tile precipitation (mm/day),0.006939874000804746,0.009964002246718949
2020,11,num__shortwave radiation,0.003982967214399913,0.0029141915290396276
2020,12,num__aod,0.001613680175233867,0.006978811543924956
