region,crop,year,forecast_method,90%tile precipitation,90%tile precipitation (mm/day),90%tile precipitation (mm/day) years,aod,avg,ch4,ch4 (ppbv),ch4 avg (ppbv),ch4 day (ppbv),ch4 night (ppbv),co avg (ppbv),co day (ppbv),co day ppbv,co night (ppbv),co ppbv,co sfc conc (ppbv),co surface concentration (ppbv),co surface mass concentration (ppbv),co_day (ppbv),co_night (ppbv),day o3,net downward shortwave radiation,net dw sw wm-2,net sw land,net sw land wm-2,o3 avg,o3 sfc mass conc.,o3 total column 0.25 deg,o3 total column 1 deg,o3_total column o3 du,ozone 0.25,ozone 1 deg.,ozone sfc mass conc.,pm2.5 ugm-3,shortwave radiation,so2 column amount,so2 column du,so2 conc (ugm-3),so2 sfc ms cnc,so2 ugm-3,surface skin temp,surface skin temp avg,surface skin temp day,surface skin temp night,surface skin temp years,total column o3 du,total column ozone dobson,total o3 column,yield_lag1,yield_lag2,yield_pred
GKP,maize,2021,past_only,,29.95661622,,0.45432754625000005,,1880.9223550000002,,,1884.64765,1877.19706,,,,,118.5672414,134.20316300000002,,,,,,,179.579323,,,,,270.5256772,270.5086429,,,,,34.01434275,150.231494931405,-0.010303024,,,,8.3754172475,,28.36953165,31.668359775,25.070703525,,,267.29808775,,0.9770660340055358,0.956973293768546,1.1849688428393468
GKP,maize,2022,past_only,,29.95661622,,0.45432754625000005,,1880.9223550000002,,,1884.64765,1877.19706,,,,,118.5672414,134.20316300000002,,,,,,,179.579323,,,,,270.5256772,270.5086429,,,,,34.01434275,150.231494931405,-0.010303024,,,,8.3754172475,,28.36953165,31.668359775,25.070703525,,,267.29808775,,1.1849688428393468,0.9770660340055358,1.319798554621453
GKP,maize,2023,past_only,,29.95661622,,0.45432754625000005,,1880.9223550000002,,,1884.64765,1877.19706,,,,,118.5672414,134.20316300000002,,,,,,,179.579323,,,,,270.5256772,270.5086429,,,,,34.01434275,150.231494931405,-0.010303024,,,,8.3754172475,,28.36953165,31.668359775,25.070703525,,,267.29808775,,1.319798554621453,1.1849688428393468,1.415307135825706
GKP,maize,2024,past_only,,29.95661622,,0.45432754625000005,,1880.9223550000002,,,1884.64765,1877.19706,,,,,118.5672414,134.20316300000002,,,,,,,179.579323,,,,,270.5256772,270.5086429,,,,,34.01434275,150.231494931405,-0.010303024,,,,8.3754172475,,28.36953165,31.668359775,25.070703525,,,267.29808775,,1.415307135825706,1.319798554621453,1.495566333160285
GKP,maize,2025,past_only,,29.95661622,,0.45432754625000005,,1880.9223550000002,,,1884.64765,1877.19706,,,,,118.5672414,134.20316300000002,,,,,,,179.579323,,,,,270.5256772,270.5086429,,,,,34.01434275,150.231494931405,-0.010303024,,,,8.3754172475,,28.36953165,31.668359775,25.070703525,,,267.29808775,,1.495566333160285,1.415307135825706,1.5733440017101934
GKP,maize,2026,past_only,,29.95661622,,0.45432754625000005,,1880.9223550000002,,,1884.64765,1877.19706,,,,,118.5672414,134.20316300000002,,,,,,,179.579323,,,,,270.5256772,270.5086429,,,,,34.01434275,150.231494931405,-0.010303024,,,,8.3754172475,,28.36953165,31.668359775,25.070703525,,,267.29808775,,1.5733440017101934,1.495566333160285,1.6546190742949696
GKP,maize,2027,past_only,,29.95661622,,0.45432754625000005,,1880.9223550000002,,,1884.64765,1877.19706,,,,,118.5672414,134.20316300000002,,,,,,,179.579323,,,,,270.5256772,270.5086429,,,,,34.01434275,150.231494931405,-0.010303024,,,,8.3754172475,,28.36953165,31.668359775,25.070703525,,,267.29808775,,1.6546190742949696,1.5733440017101934,1.7419013777969274
GKP,maize,2028,past_only,,29.95661622,,0.45432754625000005,,1880.9223550000002,,,1884.64765,1877.19706,,,,,118.5672414,134.20316300000002,,,,,,,179.579323,,,,,270.5256772,270.5086429,,,,,34.01434275,150.231494931405,-0.010303024,,,,8.3754172475,,28.36953165,31.668359775,25.070703525,,,267.29808775,,1.7419013777969274,1.6546190742949696,1.836086698651522
GKP,maize,2029,past_only,,29.95661622,,0.45432754625000005,,1880.9223550000002,,,1884.64765,1877.19706,,,,,118.5672414,134.20316300000002,,,,,,,179.579323,,,,,270.5256772,270.5086429,,,,,34.01434275,150.231494931405,-0.010303024,,,,8.3754172475,,28.36953165,31.668359775,25.070703525,,,267.29808775,,1.836086698651522,1.7419013777969274,1.9372620110130703
GKP,maize,2030,past_only,,29.95661622,,0.45432754625000005,,1880.9223550000002,,,1884.64765,1877.19706,,,,,118.5672414,134.20316300000002,,,,,,,179.579323,,,,,270.5256772,270.5086429,,,,,34.01434275,150.231494931405,-0.010303024,,,,8.3754172475,,28.36953165,31.668359775,25.070703525,,,267.29808775,,1.9372620110130703,1.836086698651522,2.044900313516335
GKP,rice,2021,past_only,,29.95661622,2020.0,0.47372508799999996,,1883.599905,,,1890.00275,1877.19706,,,,,118.5672414,142.0212518,,,,,,,175.64732375,,,,,270.5256772,270.5086429,,,,,41.473484725000006,150.231494931405,-0.010303024,,,,10.32924556,,,32.322656175,25.31484415,2020.0,,262.88987699999996,,2.8,2.67,2.8846596265726063
GKP,rice,2022,past_only,,29.95661622,2020.0,0.47372508799999996,,1883.599905,,,1890.00275,1877.19706,,,,,118.5672414,142.0212518,,,,,,,175.64732375,,,,,270.5256772,270.5086429,,,,,41.473484725000006,150.231494931405,-0.010303024,,,,10.32924556,,,32.322656175,25.31484415,2020.0,,262.88987699999996,,2.8846596265726063,2.8,2.9774662453138765
GKP,rice,2023,past_only,,29.95661622,2020.0,0.47372508799999996,,1883.599905,,,1890.00275,1877.19706,,,,,118.5672414,142.0212518,,,,,,,175.64732375,,,,,270.5256772,270.5086429,,,,,41.473484725000006,150.231494931405,-0.010303024,,,,10.32924556,,,32.322656175,25.31484415,2020.0,,262.88987699999996,,2.9774662453138765,2.8846596265726063,3.0801431480293466
GKP,rice,2024,past_only,,29.95661622,2020.0,0.47372508799999996,,1883.599905,,,1890.00275,1877.19706,,,,,118.5672414,142.0212518,,,,,,,175.64732375,,,,,270.5256772,270.5086429,,,,,41.473484725000006,150.231494931405,-0.010303024,,,,10.32924556,,,32.322656175,25.31484415,2020.0,,262.88987699999996,,3.0801431480293466,2.9774662453138765,3.1851439350955513
GKP,rice,2025,past_only,,29.95661622,2020.0,0.47372508799999996,,1883.599905,,,1890.00275,1877.19706,,,,,118.5672414,142.0212518,,,,,,,175.64732375,,,,,270.5256772,270.5086429,,,,,41.473484725000006,150.231494931405,-0.010303024,,,,10.32924556,,,32.322656175,25.31484415,2020.0,,262.88987699999996,,3.1851439350955513,3.0801431480293466,3.286412737923266
GKP,rice,2026,past_only,,29.95661622,2020.0,0.47372508799999996,,1883.599905,,,1890.00275,1877.19706,,,,,118.5672414,142.0212518,,,,,,,175.64732375,,,,,270.5256772,270.5086429,,,,,41.473484725000006,150.231494931405,-0.010303024,,,,10.32924556,,,32.322656175,25.31484415,2020.0,,262.88987699999996,,3.286412737923266,3.1851439350955513,3.3800565240154503
GKP,rice,2027,past_only,,29.95661622,2020.0,0.47372508799999996,,1883.599905,,,1890.00275,1877.19706,,,,,118.5672414,142.0212518,,,,,,,175.64732375,,,,,270.5256772,270.5086429,,,,,41.473484725000006,150.231494931405,-0.010303024,,,,10.32924556,,,32.322656175,25.31484415,2020.0,,262.88987699999996,,3.3800565240154503,3.286412737923266,3.4636898870504305
GKP,rice,2028,past_only,,29.95661622,2020.0,0.47372508799999996,,1883.599905,,,1890.00275,1877.19706,,,,,118.5672414,142.0212518,,,,,,,175.64732375,,,,,270.5256772,270.5086429,,,,,41.473484725000006,150.231494931405,-0.010303024,,,,10.32924556,,,32.322656175,25.31484415,2020.0,,262.88987699999996,,3.4636898870504305,3.3800565240154503,3.5363006842818665
GKP,rice,2029,past_only,,29.95661622,2020.0,0.47372508799999996,,1883.599905,,,1890.00275,1877.19706,,,,,118.5672414,142.0212518,,,,,,,175.64732375,,,,,270.5256772,270.5086429,,,,,41.473484725000006,150.231494931405,-0.010303024,,,,10.32924556,,,32.322656175,25.31484415,2020.0,,262.88987699999996,,3.5363006842818665,3.4636898870504305,3.598225268613699
GKP,rice,2030,past_only,,29.95661622,2020.0,0.47372508799999996,,1883.599905,,,1890.00275,1877.19706,,,,,118.5672414,142.0212518,,,,,,,175.64732375,,,,,270.5256772,270.5086429,,,,,41.473484725000006,150.231494931405,-0.010303024,,,,10.32924556,,,32.322656175,25.31484415,2020.0,,262.88987699999996,,3.598225268613699,3.5363006842818665,3.650778186479301
